name,legacy_id,legacy_prereqs,description,exertion,technicality,flexibility,balance,strength,breathing,muscle_1,muscle_2,muscle_3,muscle_stretched,origin
Chair Pose Cycle,Y0001,T0002,"Start standing in balance pose /slowly form chair pose with arms up, deep squat,  back straigt and angled forward/Once pose is established, cycle slowlybetween deep pose and standing every 20 seconds /deep breathing throughout ",3,3,1,3,3,true,Quadriceps,Shoulders,Abdominals,,Yoga
Leg Shake,M0001,M0007,"Simple exercise meant to introduce some irreverence /start standing in balance pose /Balance on one leg, shake the other out (not too vigorousl) /Cycle alternating legs",1,2,2,4,0,,Quadriceps,Hamstrings,,,other
Neck Role,M0002,M0007,"Start standing in balance pose /put rolled up jacket or Towel behind neck for support (if desired) /role neck around 3-4 times counter-clockwise, then clockwise, maintain balance pose and bend knees a little bit more (if desired) /repeat till time",1,1,3,1,0,,Quadriceps,,,,other
Windmills ,M0003,M0007,"Start standing in balance pose /raise arms perpendicular to body and  /start slowly windmilling both arms forward or backward in narrow circles slowly progressing to wider circles /change direction (forward, backward) every 20 seconds ",2,2,1,1,2,,Shoulders,Quadriceps,,,other
Windmills Squat,M0004,T0001,"Start standing in balance pose /Attain a half squat position /execute windmills M0003/ After 40 seconds (including direction change), back to balance pose for 10 seconds /cycle",3,2,1,2,3,,Quadriceps,Shoulders,,,other
Windmill Lunge,M0005,T0002,"Start in standing balance pose /lunge forward with one or the other leg /in lunge pose (with core engaged, etc), do windmills from M0003 /at direction change, back to standing balance pose, then lunge with other leg and do windmills in other direction (backward or forward)",4,3,2,4,3,,Quadriceps,Shoulders,Abdominals,,other
Arm High Stretch,M0006,M0007,Start in standing balance pose /bend knees a bit more /stretch both arms over head /grab onewrist with the other hand and lean to the side of the grabbing hand while pulling up on the wrist /breath a couple times here then exhale back up /do the other side /repeat until time,2,2,4,2,1,,Quadriceps,,,Latissimus Dorsi,other
Foot Sweep,J0001,J0004,"Start in standing balance pose /bend knees a bit more /hold arms in-front of body as if gripping an opponents lapels /sweep one foot in front of the other, with the blade of the foot dragging barely on the ground /repeat each leg until time",3,3,1,3,1,,Quadriceps,,,,Judo
Balance Pose,M0007,,"Intro to starting position for most exercises /stand with knees slightly bent, feet shoulder distance apart, hips forward (core engaged), arms bent up slightly for balance /instruct to maintain knee bend, engage and unengage core to familiarize with feeling",1,1,1,2,1,,,,,,other
Half Squats,T0001,T0003,"Start standing in balance pose /feet hip width apart, toes forward, arms up for balance /keeping knees from going over toes, bend knees halfway between standing and thighs parralel to ground, butt out /cylcle through squats, breath out squatting, in standing slowly until time",2,2,1,2,2,,Quadriceps,,,,Personal Training
Squats,T0002,"T0001, M0027",Start in standing balance pose /execute regular squats /include breaks,4,3,1,2,3,,Quadriceps,,,,Personal Training
Intro to Squat,T0003,M0007,"Start standing in balance pose /instruct proper squat technique /highlight proper angles, foot position, butt position, etc.",2,2,1,1,2,,Quadriceps,,,,Personal Training
One-leg reaches,T0004,H0005,"Start in standing balance pose /place hands on hips /balance on one leg /raise the other with knee bent so femur is as close parralel to ground as you can get /extend knee, then retract /rotate leg to side, extend knee, then retract /reach leg back behind you, then return to standing /repeat with other leg /cycle until time",3,3,3,4,2,,abductor,glutes,,,Personal Training
One-leg stand,H0005,M0007,Start in standing balance pose /lift one leg up wit knee bent as high as you can /hold for 20 secnds /return to standing /repeat with other leg /cycle until time,2,1,1,3,1,,,,,,Physical Therapy
Warrior One,Y0002,T0004,"Start in standing balance pose /cycle through warrior one poses on each side until time, including breathing and back bend",3,3,3,3,2,true,quadriceps,glutes,,,Yoga
Warrior Two,Y0003,T0004,"Start in standing balance pose /cycle through warrior two poses on each side until time, including breathing ",4,3,3,3,2,,quadriceps,glutes,,,Yoga
Standing Pigeon,Y0005,Y0001,"Start in standing balance pose /move to chair pose without raising arms /put one leg on top of the other, so that outside of lower lifted leg is resting just above the knee of standing leg /bend standing knee into proper one-legged squat, as deep as possible /keep arms in balance pose position /back to standing, then other leg, cycle until time",3,4,4,4,3,,quadriceps,glutes,,IT Bands,Yoga
Standing Quad Stretch,M0008,H0005,"Start in standing balance pose /bend one leg at knee and catch with same side hand /pull foot as close to body (behind, not to the side) /use both hands if needed /cycle through with other side until time",2,2,4,3,2,,quadriceps,,,quadriceps,other
Standing Hamstring Curls,T0005,H0005,"Start in standing balance pose /stand on one leg /bend the knee of lifted leg so lower leg goes as high as it can behind body, keeping upper leg parralel with that of standing leg /do 10-20 sets /cycle with other leg until time",2,1,2,3,2,,Hamstrings,quadriceps,,,Personal Training
Behind back shoulder stretch,M0008,M0007,"Start in standing balance pose /lift both arms over head /grab one elbow with the other hand and pull towards head or, if possible, behind head /hold stretch for 15 seconds /cycle through with other side untiltime",1,2,4,1,1,,,,,shoulders,other
Upper back & neck releiver,M0009,M0007,Start in standing balance pose with feet double hip distance /lift both arms over head and stretch strait up and hold for 15 seconds /bend all the way down so head is hanging limp between legs /cross arms below head so they are not touching the ground /hold for 20 seconds /stand up slowly breathing VERY deeply to prevent light-headedness /cycle through till time,2,2,2,2,1,true,,,,Adductor,other
Basic hamstring stretch,T0006,M0016,"Start in standing balance pose /place one straight out infront, heal resting on ground /place hands on top of straight leg /proper squat motion down (with butt out and back straight) until feeling the stretch /stand then cycle with other leg until time",1,2,4,2,1,,quadriceps,,,hamstrings,Personal Training
Leg-cross hamstring stretch,M0011,T0006,"Start in standing balance pose /cross one leg in front of other, keeping it touching the leg and both legs slightly bent /keeping back strait, bend down until stretch /can rest hands on upper leg for support / touch toes if possible /stand up and cycle through until time",2,2,4,3,1,,,,,hamstrings,other
One-leg roundhouse?,J0002,H0005,"Start in standing balance pose /lift one leg, knee bent, as high as you can, angled across the body /slowly rotate the him so the leg moves outward to the side of the body /extend knee and land the foot behind the body /this should be one fluid motion /return to standing balance pose and cycle through with other leg until time ",3,3,3,5,2,,abductor,,,adductor,Judo
